Kelompok 9,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
Responden 1,4,2,2,4,4,4,5,4
Responden 2,4,3,3,2,4,2,4,4
Responden 3,1,4,4,1,2,4,4,4
Responden 4,4,4,3,3,5,1,4,2
Responden 5,3,2,2,3,2,3,4,4
Responden 6,5,3,3,4,4,3,4,3
Responden 7,4,4,4,4,3,4,4,2
Responden 8,5,2,3,1,5,2,4,4
Responden 9,5,4,4,2,2,4,4,2
Responden 10,4,1,2,3,3,2,5,2
Responden 11,4,4,3,2,4,4,4,4
Responden 12,5,3,3,3,2,2,4,4
Responden 13,5,3,3,2,2,2,5,4
Responden 14,4,2,3,2,5,4,5,3
Responden 15,4,3,3,2,4,2,4,3
Responden 16,4,3,4,2,5,2,4,4
Responden 17,1,3,3,3,2,3,5,4
Responden 18,4,3,3,3,4,2,4,3
Responden 19,4,3,3,3,4,2,4,3
Responden 20,3,2,2,3,4,2,4,2
Responden 21,4,3,3,2,2,4,4,4
Responden 22,4,4,4,3,4,5,5,3
Responden 23,5,5,5,2,3,5,4,4
Responden 24,4,3,4,2,3,3,3,3
Responden 25,5,3,3,4,4,4,5,4
Responden 26,4,4,4,2,3,5,3,4
Responden 27,4,3,4,3,5,2,2,2
Responden 28,5,4,4,2,5,2,5,4
Responden 29,4,4,4,3,3,4,4,3
Responden 30,4,3,3,2,4,2,2,4
Responden 31,5,4,4,2,1,4,4,4
Responden 32,4,3,3,2,3,3,4,4
Responden 33,4,4,4,4,4,4,4,5
Responden 34,4,4,3,2,3,4,4,4
Responden 35,5,3,3,1,3,3,4,4
Responden 36,4,3,2,4,4,2,5,4
Responden 37,4,2,2,2,4,2,4,2
Responden 38,5,3,4,4,4,3,4,4
Responden 39,5,4,4,2,4,2,4,4
Responden 40,4,3,2,3,2,4,4,2
Responden 41,5,3,2,2,5,1,5,3
Responden 42,4,3,3,3,5,3,4,2
Responden 43,4,3,3,3,5,3,4,2
Responden 44,4,4,3,2,2,2,2,2
Responden 45,4,2,2,2,4,3,4,4
Responden 46,4,2,2,1,4,4,5,4
Responden 47,5,4,4,2,2,4,4,5
Responden 48,4,3,3,2,3,4,4,3
Responden 49,5,4,4,5,5,4,5,4
Responden 50,4,3,4,4,4,3,5,3
Responden 51,4,2,2,3,3,3,5,2
Responden 52,4,4,4,5,4,3,5,4
Responden 53,5,4,4,2,4,4,3,4
Responden 54,5,4,4,2,2,4,3,4
Responden 55,5,1,1,4,3,3,4,1
Responden 56,5,4,4,3,2,3,4,4
Responden 57,4,4,4,1,5,5,4,2
Responden 58,4,4,3,3,2,3,2,4
Responden 59,4,4,4,2,2,4,4,4
Responden 60,4,3,3,2,5,2,5,4
Responden 61,4,3,2,2,4,3,5,3
Responden 62,2,1,1,4,3,2,4,4
Responden 63,4,1,2,1,4,1,5,2
Responden 64,5,3,2,2,4,4,5,2
Responden 65,5,2,2,2,3,3,5,5
Responden 66,4,4,4,3,4,3,4,3
Responden 67,5,4,4,1,5,5,3,2
Responden 68,3,3,3,2,3,2,5,4
Responden 69,3,2,1,3,4,3,5,4
Responden 70,4,3,3,5,4,3,4,4
Responden 71,5,5,5,5,5,5,5,2
Responden 72,4,4,3,3,4,3,3,3
Responden 73,4,3,5,5,4,4,5,3
Responden 74,4,3,5,5,4,4,5,3
Responden 75,4,3,3,4,4,3,4,2
Responden 76,5,3,3,3,3,3,3,3
Responden 77,4,3,4,3,5,3,5,5
Responden 78,5,3,3,5,2,2,4,4
Responden 79,4,2,2,4,5,2,4,1
Responden 80,5,3,3,2,2,5,4,4
Responden 81,4,4,4,3,3,3,3,4
Responden 82,4,4,4,2,4,2,4,1
Responden 83,3,3,2,5,4,3,4,4
Responden 84,4,2,2,2,4,3,4,2
Responden 85,5,3,4,3,3,4,5,4
Responden 86,2,3,3,4,5,2,4,2
Responden 87,4,1,1,3,3,2,5,2
Responden 88,4,2,3,4,2,4,5,4
Responden 89,5,3,3,2,2,2,4,4
Responden 90,4,3,3,4,4,2,5,2
Responden 91,5,1,1,3,5,1,5,4
Responden 92,5,4,4,2,5,4,5,4
Responden 93,3,1,2,5,5,1,5,5
Responden 94,4,2,2,4,2,4,4,3
Responden 95,4,3,3,4,4,2,4,3
Responden 96,4,4,4,4,5,3,4,2
Responden 97,4,4,4,2,3,3,4,3
Responden 98,4,3,3,2,4,3,4,4
Responden 99,4,4,3,3,4,2,4,3
Responden 100,4,4,4,2,4,2,4,4
Responden 101,5,5,5,3,3,3,3,5
Responden 102,3,3,3,1,4,1,5,4
Responden 103,4,4,4,2,2,4,2,4
Responden 104,5,3,2,2,4,2,5,4
Responden 105,3,4,3,2,4,4,4,4
Responden 106,4,4,4,3,4,2,5,3
Responden 107,4,3,3,3,2,3,3,4
Responden 108,4,3,3,2,5,4,5,4
Responden 109,4,4,4,4,3,3,5,4
Responden 110,3,3,4,2,5,3,4,2
Responden 111,3,4,4,4,4,4,2,5
Responden 112,1,4,4,2,5,2,3,1
Responden 113,1,4,4,2,5,2,3,1
Responden 114,1,1,1,5,5,1,4,1
Responden 115,4,4,4,2,5,1,4,2
Responden 116,4,3,4,3,3,5,5,4
Responden 117,5,3,3,4,2,4,5,2
Responden 118,4,4,4,2,5,4,4,2
Responden 119,4,2,2,2,2,4,4,2
Responden 120,5,3,3,4,4,3,4,5
Responden 121,5,3,3,4,4,3,4,4
Responden 122,4,4,4,4,4,4,4,2
Responden 123,4,3,4,3,3,4,3,3
Responden 124,4,3,3,3,5,2,5,2
Responden 125,4,3,2,3,3,2,5,4
Responden 126,3,2,2,2,4,2,3,2
Responden 127,4,3,3,2,3,4,4,5
Responden 128,4,3,3,4,2,3,4,3
Responden 129,2,1,2,1,5,2,5,3
Responden 130,4,3,2,2,2,3,4,4
Responden 131,5,5,4,2,2,4,4,4
Responden 132,4,2,2,4,5,2,5,1
Responden 133,4,2,2,2,3,2,3,4
Responden 134,4,3,3,4,4,2,3,4
Responden 135,2,2,2,2,5,2,2,1
Responden 136,4,2,2,2,4,2,4,4
Responden 137,5,4,4,5,3,2,5,4
Responden 138,4,3,3,2,3,4,5,5
Responden 139,4,3,3,2,3,3,3,4
Responden 140,4,4,3,2,4,3,4,3
Responden 141,5,5,5,4,4,4,4,5
Responden 142,3,3,3,3,5,3,5,3
Responden 143,5,4,4,3,4,3,4,4
Responden 144,4,4,4,4,4,4,4,4
Responden 145,4,3,4,2,4,4,4,4
Responden 146,4,2,1,2,5,1,5,2
Responden 147,4,3,3,2,2,3,3,5
Responden 148,4,2,2,2,4,2,4,2
